feature,weight
intercept,-0.4519312847649777
ph,-0.11618647807174823
Hardness,0.2946060051925679
Solids,0.127771183066122
Chloramines,0.09161605041175197
Sulfate,-0.1662084620584833
Conductivity,0.26429606882828904
Organic_carbon,-0.276319484426574
Trihalomethanes,0.07933637914154952
Turbidity,0.04468732970835818
Dist_Cluster_0,-0.307873303896442
Dist_Cluster_1,0.7571908840404907
Dist_Cluster_2,-0.3147970803886611
Dist_Cluster_3,0.4485038409099837
Dist_Cluster_4,-0.4138483834651436
Dist_Cluster_5,-0.7198194735654315
Dist_Cluster_6,0.12198843316317516
Dist_Cluster_7,0.15196620396700403
Dist_Cluster_8,0.44645801902643756
Cluster,-0.11893682785538752
random_feature,0.022630667614633983
