feature,mean_importance
random_feature,-6.911679374344004e-06
Turbidity,0.0003161086241676214
ph,0.0012526655653507524
Cluster,0.002125543859379686
Trihalomethanes,0.0022706856350506845
Sulfate,0.002563365566127862
Chloramines,0.0031457510645825247
Dist_Cluster_6,0.0049654375623431335
Solids,0.005825844659048451
Dist_Cluster_7,0.007431092514837001
Hardness,0.01927278697985413
Organic_carbon,0.020365985568797096
Dist_Cluster_0,0.021032019921263266
Dist_Cluster_2,0.022409584246667058
Conductivity,0.02336798909513498
Dist_Cluster_4,0.037716407665326315
Dist_Cluster_8,0.04819027153961741
Dist_Cluster_3,0.058069998599622454
Dist_Cluster_5,0.08451815405761294
Dist_Cluster_1,0.13926547711015297
